code,name
361,beach_house-s
362,driving_range-outdoor-s
363,food_court-s
364,mine-s
365,road_cut-s
366,airport_ticket_counter-s
367,industrial_park-s
368,sun_deck-s
369,carport-freestanding-s
370,elevator-door-s
371,dining_hall-s
372,manhole-s
373,batters_box-s
374,checkout_counter-s
375,natural_history_museum-s
376,bullpen-s
377,junkyard-s
378,japanese_garden-s
379,granary-s
380,museum-outdoor-s
381,bazaar-outdoor-s
382,zen_garden-s
383,bedchamber-s
384,air_base-s
385,banquet_hall-s
386,cubicle-library-s
387,cabana-s
388,limousine_interior-s
389,chapel-s
390,hoodoo-s
391,building_complex-s
392,control_tower-indoor-s
393,canteen-s
394,cafeteria-s
395,cheese_factory-s
396,badminton_court-indoor-s
397,hot_tub-indoor-s
398,watering_hole-s
399,cottage-s
400,gulch-s
401,car_dealership-s
402,basketball_court-outdoor-s
403,choir_loft-exterior-s
404,archaelogical_excavation-s
405,jail-outdoor-s
406,earth_fissure-s
407,nunnery-s
408,convenience_store-indoor-s
409,bleachers-indoor-s
410,clean_room-s
411,funeral_chapel-s
412,backstairs-s
413,hedge_maze-s
414,gift_shop-s
415,aquatic_theater-s
416,labyrinth-outdoor-s
417,flight_of_stairs-natural-s
418,fishpond-s
419,drainage_ditch-s
420,fire_station-s
421,signal_box-s
422,lake-artificial-s
423,liquor_store-outdoor-s
424,newsstand-outdoor-s
425,fort-s
426,barnyard-s
427,brewery-outdoor-s
428,mission-s
429,hotel_breakfast_area-s
430,quadrangle-s
431,call_center-s
432,hangar-outdoor-s
433,jacuzzi-outdoor-s
434,bus_shelter-s
435,loading_dock-s
436,auto_mechanics-indoor-s
437,pilothouse-indoor-s
438,beer_garden-s
439,catacomb-s
440,football_field-s
441,bayou-s
442,covered_bridge-interior-s
443,joss_house-s
444,bistro-indoor-s
445,cardroom-s
446,hot_tub-outdoor-s
447,landing-s
448,bakery-kitchen-s
449,heliport-s
450,dirt_track-s
451,pub-outdoor-s
452,circus_tent-outdoor-s
453,bank_vault-s
454,imaret-s
455,basketball_court-indoor-s
456,liquor_store-indoor-s
457,lean-to-s
458,mausoleum-s
459,rubble-s
460,hunting_lodge-indoor-s
461,butte-s
462,throne_room-s
463,field_road-s
464,tearoom-s
465,florist_shop-outdoor-s
466,moat-dry-s
467,freeway-s
468,fjord-s
